Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M11;.
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M10;822
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M09;1.062
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M08;2.035
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M07;1.780
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M06;1.129
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M05;592
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M04;712
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M03;547
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;ZONAS TURÍSTICAS;Andalucía: Costa De Almería;RESIDENCIA/ORIGEN;Residentes en España;Concepto turístico;Viajero;2025M02;.
